ID,Name,BaseName,Types,ImageURL,RegionalForms,Link,HasRegionalForms
1,Bulbasaur,Bulbasaur,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,[],https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pokémon),False
2,Ivysaur,Ivysaur,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,[],https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pokémon),False
3,Venusaur,Venusaur,"['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,"[{""name"": ""Venusaur Mega"", ""types"": [""grass"", ""poison""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10033.png""}, {""name"": ""Venusaur Gmax"", ""types"": [""grass"", ""poison""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10195.png""}]",https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pokémon),True
4,Charmander,Charmander,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,[],https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pokémon),False
5,Charmeleon,Charmeleon,['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,[],https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pokémon),False
6,Charizard,Charizard,"['fire', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,"[{""name"": ""Charizard Mega X"", ""types"": [""fire"", ""dragon""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10034.png""}, {""name"": ""Charizard Mega Y"", ""types"": [""fire"", ""flying""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10035.png""}, {""name"": ""Charizard Gmax"", ""types"": [""fire"", ""flying""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10196.png""}]",https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pokémon),True
7,Squirtle,Squirtle,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,[],https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pokémon),False
8,Wartortle,Wartortle,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,[],https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pokémon),False
9,Blastoise,Blastoise,['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,"[{""name"": ""Blastoise Mega"", ""types"": [""water""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10036.png""}, {""name"": ""Blastoise Gmax"", ""types"": [""water""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10197.png""}]",https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pokémon),True
10,Caterpie,Caterpie,['bug'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,[],https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pokémon),False
11,Metapod,Metapod,['bug'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,[],https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pokémon),False
12,Butterfree,Butterfree,"['bug', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,"[{""name"": ""Butterfree Gmax"", ""types"": [""bug"", ""flying""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10198.png""}]",https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pokémon),True
13,Weedle,Weedle,"['bug', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,[],https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pokémon),False
14,Kakuna,Kakuna,"['bug', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,[],https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pokémon),False
15,Beedrill,Beedrill,"['bug', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,"[{""name"": ""Beedrill Mega"", ""types"": [""bug"", ""poison""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10090.png""}]",https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pokémon),True
16,Pidgey,Pidgey,"['normal', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,[],https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pokémon),False
17,Pidgeotto,Pidgeotto,"['normal', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,[],https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pokémon),False
18,Pidgeot,Pidgeot,"['normal', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,"[{""name"": ""Pidgeot Mega"", ""types"": [""normal"", ""flying""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10073.png""}]",https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pokémon),True
19,Rattata,Rattata,['normal'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,"[{""name"": ""Rattata Alola"", ""types"": [""dark"", ""normal""], ""image"": ""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10091.png""}]",https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pokémon),True
